Testni primer za prastevilo : 67 Mnozica: Z_67
----------------------------------
Vsota: 
  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66
  0 34  1 35  2 36  3 37  4 38  5 39  6 40  7 41  8 42  9 43 10 44 11 45 12 46 13 47 14 48 15 49 16 50 17 51 18 52 19 53 20 54 21 55 22 56 23 57 24 58 25 59 26 60 27 61 28 62 29 63 30 64 31 65 32 66 33
  0 35  3 38  6 41  9 44 12 47 15 50 18 53 21 56 24 59 27 62 30 65 33  1 36  4 39  7 42 10 45 13 48 16 51 19 54 22 57 25 60 28 63 31 66 34  2 37  5 40  8 43 11 46 14 49 17 52 20 55 23 58 26 61 29 64 32
  0 36  5 41 10 46 15 51 20 56 25 61 30 66 35  4 40  9 45 14 50 19 55 24 60 29 65 34  3 39  8 44 13 49 18 54 23 59 28 64 33  2 38  7 43 12 48 17 53 22 58 27 63 32  1 37  6 42 11 47 16 52 21 57 26 62 31
  0 37  7 44 14 51 21 58 28 65 35  5 42 12 49 19 56 26 63 33  3 40 10 47 17 54 24 61 31  1 38  8 45 15 52 22 59 29 66 36  6 43 13 50 20 57 27 64 34  4 41 11 48 18 55 25 62 32  2 39  9 46 16 53 23 60 30
  0 38  9 47 18 56 27 65 36  7 45 16 54 25 63 34  5 43 14 52 23 61 32  3 41 12 50 21 59 30  1 39 10 48 19 57 28 66 37  8 46 17 55 26 64 35  6 44 15 53 24 62 33  4 42 13 51 22 60 31  2 40 11 49 20 58 29
  0 39 11 50 22 61 33  5 44 16 55 27 66 38 10 49 21 60 32  4 43 15 54 26 65 37  9 48 20 59 31  3 42 14 53 25 64 36  8 47 19 58 30  2 41 13 52 24 63 35  7 46 18 57 29  1 40 12 51 23 62 34  6 45 17 56 28
  0 40 13 53 26 66 39 12 52 25 65 38 11 51 24 64 37 10 50 23 63 36  9 49 22 62 35  8 48 21 61 34  7 47 20 60 33  6 46 19 59 32  5 45 18 58 31  4 44 17 57 30  3 43 16 56 29  2 42 15 55 28  1 41 14 54 27
  0 41 15 56 30  4 45 19 60 34  8 49 23 64 38 12 53 27  1 42 16 57 31  5 46 20 61 35  9 50 24 65 39 13 54 28  2 43 17 58 32  6 47 21 62 36 10 51 25 66 40 14 55 29  3 44 18 59 33  7 48 22 63 37 11 52 26
  0 42 17 59 34  9 51 26  1 43 18 60 35 10 52 27  2 44 19 61 36 11 53 28  3 45 20 62 37 12 54 29  4 46 21 63 38 13 55 30  5 47 22 64 39 14 56 31  6 48 23 65 40 15 57 32  7 49 24 66 41 16 58 33  8 50 25
  0 43 19 62 38 14 57 33  9 52 28  4 47 23 66 42 18 61 37 13 56 32  8 51 27  3 46 22 65 41 17 60 36 12 55 31  7 50 26  2 45 21 64 40 16 59 35 11 54 30  6 49 25  1 44 20 63 39 15 58 34 10 53 29  5 48 24
  0 44 21 65 42 19 63 40 17 61 38 15 59 36 13 57 34 11 55 32  9 53 30  7 51 28  5 49 26  3 47 24  1 45 22 66 43 20 64 41 18 62 39 16 60 37 14 58 35 12 56 33 10 54 31  8 52 29  6 50 27  4 48 25  2 46 23
  0 45 23  1 46 24  2 47 25  3 48 26  4 49 27  5 50 28  6 51 29  7 52 30  8 53 31  9 54 32 10 55 33 11 56 34 12 57 35 13 58 36 14 59 37 15 60 38 16 61 39 17 62 40 18 63 41 19 64 42 20 65 43 21 66 44 22
  0 46 25  4 50 29  8 54 33 12 58 37 16 62 41 20 66 45 24  3 49 28  7 53 32 11 57 36 15 61 40 19 65 44 23  2 48 27  6 52 31 10 56 35 14 60 39 18 64 43 22  1 47 26  5 51 30  9 55 34 13 59 38 17 63 42 21
  0 47 27  7 54 34 14 61 41 21  1 48 28  8 55 35 15 62 42 22  2 49 29  9 56 36 16 63 43 23  3 50 30 10 57 37 17 64 44 24  4 51 31 11 58 38 18 65 45 25  5 52 32 12 59 39 19 66 46 26  6 53 33 13 60 40 20
  0 48 29 10 58 39 20  1 49 30 11 59 40 21  2 50 31 12 60 41 22  3 51 32 13 61 42 23  4 52 33 14 62 43 24  5 53 34 15 63 44 25  6 54 35 16 64 45 26  7 55 36 17 65 46 27  8 56 37 18 66 47 28  9 57 38 19
  0 49 31 13 62 44 26  8 57 39 21  3 52 34 16 65 47 29 11 60 42 24  6 55 37 19  1 50 32 14 63 45 27  9 58 40 22  4 53 35 17 66 48 30 12 61 43 25  7 56 38 20  2 51 33 15 64 46 28 10 59 41 23  5 54 36 18
  0 50 33 16 66 49 32 15 65 48 31 14 64 47 30 13 63 46 29 12 62 45 28 11 61 44 27 10 60 43 26  9 59 42 25  8 58 41 24  7 57 40 23  6 56 39 22  5 55 38 21  4 54 37 20  3 53 36 19  2 52 35 18  1 51 34 17
  0 51 35 19  3 54 38 22  6 57 41 25  9 60 44 28 12 63 47 31 15 66 50 34 18  2 53 37 21  5 56 40 24  8 59 43 27 11 62 46 30 14 65 49 33 17  1 52 36 20  4 55 39 23  7 58 42 26 10 61 45 29 13 64 48 32 16
  0 52 37 22  7 59 44 29 14 66 51 36 21  6 58 43 28 13 65 50 35 20  5 57 42 27 12 64 49 34 19  4 56 41 26 11 63 48 33 18  3 55 40 25 10 62 47 32 17  2 54 39 24  9 61 46 31 16  1 53 38 23  8 60 45 30 15
  0 53 39 25 11 64 50 36 22  8 61 47 33 19  5 58 44 30 16  2 55 41 27 13 66 52 38 24 10 63 49 35 21  7 60 46 32 18  4 57 43 29 15  1 54 40 26 12 65 51 37 23  9 62 48 34 20  6 59 45 31 17  3 56 42 28 14
  0 54 41 28 15  2 56 43 30 17  4 58 45 32 19  6 60 47 34 21  8 62 49 36 23 10 64 51 38 25 12 66 53 40 27 14  1 55 42 29 16  3 57 44 31 18  5 59 46 33 20  7 61 48 35 22  9 63 50 37 24 11 65 52 39 26 13
  0 55 43 31 19  7 62 50 38 26 14  2 57 45 33 21  9 64 52 40 28 16  4 59 47 35 23 11 66 54 42 30 18  6 61 49 37 25 13  1 56 44 32 20  8 63 51 39 27 15  3 58 46 34 22 10 65 53 41 29 17  5 60 48 36 24 12
  0 56 45 34 23 12  1 57 46 35 24 13  2 58 47 36 25 14  3 59 48 37 26 15  4 60 49 38 27 16  5 61 50 39 28 17  6 62 51 40 29 18  7 63 52 41 30 19  8 64 53 42 31 20  9 65 54 43 32 21 10 66 55 44 33 22 11
  0 57 47 37 27 17  7 64 54 44 34 24 14  4 61 51 41 31 21 11  1 58 48 38 28 18  8 65 55 45 35 25 15  5 62 52 42 32 22 12  2 59 49 39 29 19  9 66 56 46 36 26 16  6 63 53 43 33 23 13  3 60 50 40 30 20 10
  0 58 49 40 31 22 13  4 62 53 44 35 26 17  8 66 57 48 39 30 21 12  3 61 52 43 34 25 16  7 65 56 47 38 29 20 11  2 60 51 42 33 24 15  6 64 55 46 37 28 19 10  1 59 50 41 32 23 14  5 63 54 45 36 27 18  9
  0 59 51 43 35 27 19 11  3 62 54 46 38 30 22 14  6 65 57 49 41 33 25 17  9  1 60 52 44 36 28 20 12  4 63 55 47 39 31 23 15  7 66 58 50 42 34 26 18 10  2 61 53 45 37 29 21 13  5 64 56 48 40 32 24 16  8
  0 60 53 46 39 32 25 18 11  4 64 57 50 43 36 29 22 15  8  1 61 54 47 40 33 26 19 12  5 65 58 51 44 37 30 23 16  9  2 62 55 48 41 34 27 20 13  6 66 59 52 45 38 31 24 17 10  3 63 56 49 42 35 28 21 14  7
  0 61 55 49 43 37 31 25 19 13  7  1 62 56 50 44 38 32 26 20 14  8  2 63 57 51 45 39 33 27 21 15  9  3 64 58 52 46 40 34 28 22 16 10  4 65 59 53 47 41 35 29 23 17 11  5 66 60 54 48 42 36 30 24 18 12  6
  0 62 57 52 47 42 37 32 27 22 17 12  7  2 64 59 54 49 44 39 34 29 24 19 14  9  4 66 61 56 51 46 41 36 31 26 21 16 11  6  1 63 58 53 48 43 38 33 28 23 18 13  8  3 65 60 55 50 45 40 35 30 25 20 15 10  5
  0 63 59 55 51 47 43 39 35 31 27 23 19 15 11  7  3 66 62 58 54 50 46 42 38 34 30 26 22 18 14 10  6  2 65 61 57 53 49 45 41 37 33 29 25 21 17 13  9  5  1 64 60 56 52 48 44 40 36 32 28 24 20 16 12  8  4
  0 64 61 58 55 52 49 46 43 40 37 34 31 28 25 22 19 16 13 10  7  4  1 65 62 59 56 53 50 47 44 41 38 35 32 29 26 23 20 17 14 11  8  5  2 66 63 60 57 54 51 48 45 42 39 36 33 30 27 24 21 18 15 12  9  6  3
  0 65 63 61 59 57 55 53 51 49 47 45 43 41 39 37 35 33 31 29 27 25 23 21 19 17 15 13 11  9  7  5  3  1 66 64 62 60 58 56 54 52 50 48 46 44 42 40 38 36 34 32 30 28 26 24 22 20 18 16 14 12 10  8  6  4  2
  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1
----------------------------------
Nasprotno: 
0|66|65|64|63|62|61|60|59|58|57|56|55|54|53|52|51|50|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|31|30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12|11|10|9|8|7|6|5|4|3|2|1|
----------------------------------
Razlika: 
  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1
  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2
  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3
  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4
  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5
  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6
  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7
  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8
  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9
  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10
 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11
 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12
 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13
 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14
 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15
 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16
 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17
 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18
 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19
 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20
 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21
 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22
 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23
 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24
 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25
 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26
 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27
 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28
 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29
 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30
 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31
 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32
 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33
 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34
 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35
 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36
 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37
 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38
 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39
 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40
 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41
 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42
 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43
 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44
 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45
 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46
 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47
 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48
 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49
 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50
 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51
 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52
 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54 53
 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55 54
 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56 55
 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57 56
 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58 57
 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59 58
 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60 59
 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61 60
 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62 61
 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63 62
 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64 63
 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65 64
 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66 65
 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 66
 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0
----------------------------------
Obratno: 
1|34|45|17|27|56|48|42|15|47|61|28|31|24|9|21|4|41|60|57|16|64|35|14|59|49|5|12|37|38|13|44|65|2|23|54|29|30|55|62|18|8|53|32|3|51|10|7|26|63|46|58|43|36|39|6|20|52|25|19|11|40|50|22|33|66|----------------------------------
